,country_name,year,internet_user,GDP_growth,Mobile_subscriptions,population_density,population_total,school_enrollment,time_tostart_business,electricity_consumption
63,China,2008,22.6,9.623377486,47.75671627,141.0977052,1324655000,127.68345,41,2457.544795
64,France,2008,70.68,0.195293168,92.67718212,117.5605444,64371099,108.59098,6.5,7650.001439
65,Germany,2008,78,1.05210894,126.5575074,235.5221782,82110097,103.1597,17.5,7187.764009
66,India,2008,4.38,3.890957063,29.53103968,395.084853,1174662334,115.19337,29,573.6737959
67,Indonesia,2008,7.917479385,6.0137036,60.01372486,129.3041334,234243489,109.48108,77,577.7279043
68,Italy,2008,44.53,-1.049824651,150.8856458,199.9956857,58826731,103.78861,10,5757.943612
69,Japan,2008,75.4,-1.041636025,86.70710553,351.3388203,128063000,101.49924,22,8052.575685
70,"Korea, Rep.",2008,81,2.829214457,95.27662025,504.469731,48948698,102.97098,17,8791.28593
71,Mexico,2008,21.71,1.400290149,65.49948112,59.14145889,114968039,101.61942,9,1908.426045
72,Netherlands,2008,87.42,2.077940596,124.9803611,487.1324941,16445593,108.59525,8,7226.069622
73,Russian Federation,2008,26.83,5.247953532,138.8686388,8.716094712,142742350,97.10383,29,6399.684466
74,Saudi Arabia,2008,36,8.427164639,136.5376287,12.26519079,26366358,95.00819,19,7072.952586
75,Spain,2008,59.6,1.115925266,109.6808813,92.12932237,45954106,106.36019,61,6025.772757
76,Switzerland,2008,79.2,2.277231127,116.25028,193.5336319,7647675,102.19647,18,8305.923042
77,Turkey,2008,34.37,0.658838445,93.54864342,91.42511467,70363511,103.75243,6,2424.608971
78,United Kingdom,2008,78.39,-0.332043634,122.1864624,255.4747034,61806995,106.46003,10.5,6015.726861
79,United States,2008,74,-0.291621579,85.20916517,33.24368685,304093966,102.2062,5,13663.42468
80,Argentina,2009,34,0.050024456,131.1294492,14.62483548,40023641,117.59334,25.5,2761.442918
81,Australia,2009,74.25,1.731817915,100.7390114,2.823594496,21691700,103.78597,2.5,10791.547
82,Brazil,2009,39.22,-0.235978102,87.54187651,23.14999773,193490922,,122,2201.6175
83,China,2009,28.9,9.233551095,55.29808341,141.8012441,1331260000,129.4568,38,2632.687078
84,France,2009,71.58,-2.941338664,92.09659575,118.1665489,64702921,108.37833,6.5,7335.990287
85,Germany,2009,79,-5.637953893,126.2280577,234.9396374,81902307,102.28251,17.5,6817.158398
86,India,2009,5.12,8.479786622,44.12009108,400.2899475,1190138069,113.9132,29,613.7035853
87,Indonesia,2009,6.92,4.628871183,68.9204184,131.0945169,237486894,109.89215,62,596.870832
88,Italy,2009,48.83,-5.481378532,149.5058395,200.9089719,59095365,102.3152,10,5368.407488
89,Japan,2009,78,-5.526976489,91.31743648,351.2949246,128047000,101.96966,22,7808.070474
90,"Korea, Rep.",2009,81.6,0.707518483,99.54168558,506.5091452,49182038,102.621,14,8900.281847
91,Mexico,2009,26.34,-4.700339936,71.45817512,59.88978729,116422752,102.86634,8,1869.82352
92,Netherlands,2009,89.63,-3.298074702,121.6632867,490.0796917,16530388,108.79793,8,6895.663913
93,Russian Federation,2009,29,-7.820885026,160.1018962,8.718719877,142785342,98.68828,29,6095.380575
94,Saudi Arabia,2009,38,1.829176099,167.4269561,12.46522754,26796375,98.12968,20,7430.743897
95,Spain,2009,62.4,-3.573794025,111.5801838,92.94896953,46362946,106.70221,61,5652.595933
96,Switzerland,2009,81.3,-2.129604826,120.4037109,195.9669754,7743831,102.46986,18,8021.094469
97,Turkey,2009,36.4,-4.825875213,88.12268708,92.56536258,71241080,101.31937,6,2317.300636
98,United Kingdom,2009,83.56,-4.310615794,123.9547246,257.4144174,62276270,106.23608,10.5,5643.16071
99,United States,2009,71,-2.775529444,88.62364611,33.53639923,306771529,101.16628,5,12913.71143
100,Argentina,2010,45,9.451578331,141.383022,14.75294023,40374224,118.43477,25,2907.176618
101,Australia,2010,76,1.962366101,100.4263074,2.867858584,22031750,104.43138,2.5,10740.40873
102,Brazil,2010,40.65,7.572067155,100.8810115,23.35569325,195210154,,122,2380.239913
103,China,2010,34.3,10.63170823,63.17027802,142.4877434,1337705000,128.8551,38,2943.612381
104,France,2010,77.28,1.965657819,91.38732973,118.7513665,65023142,108.08264,6.5,7736.307175
105,Germany,2010,82,4.090769512,106.4836959,234.6069082,81776930,101.51912,14.5,7264.322591
106,India,2010,7.5,10.25996299,62.39006487,405.4986893,1205624648,113.4671,27,657.4235201
107,Indonesia,2010,10.92,6.223854181,87.79014493,132.8551947,240676485,109.92465,49,639.1650601
108,Italy,2010,53.68,1.710582418,154.7970088,201.5279017,59277417,101.06272,6,5493.727907
109,Japan,2010,78.21,4.652030143,96.80752449,351.309834,128070000,102.1995,22,8337.128133
110,"Korea, Rep.",2010,83.7,6.496785169,104.7742463,508.180253,49410366,103.24181,14,9744.392503
111,Mexico,2010,31.05,5.110198731,77.51826326,60.64271406,117886404,103.50413,6,1915.793445
112,Netherlands,2010,90.72,1.070503848,115.4301505,493.1847432,16615394,108.55029,8,7009.523819
113,Russian Federation,2010,43,4.503725625,165.5010987,8.722634362,142849449,,29,6409.895218
114,Saudi Arabia,2010,41,4.761829006,189.1688419,12.68014784,27258387,100.91447,20,8022.448284
115,Spain,2010,65.8,0.013804783,111.275767,93.37790096,46576897,105.47834,52,5706.563063
116,Switzerland,2010,83.9,2.953806584,123.1609109,198.0187519,7824909,102.51549,18,8174.535959
117,Turkey,2010,39.82,9.156952903,85.62758012,93.73016384,72137546,102.41883,6,2498.172034
118,United Kingdom,2010,85,1.911377665,123.6254863,259.4401893,62766365,106.9338,11.5,5700.808068
119,United States,2010,71.69,2.53192038,91.31165202,33.81795709,309347057,99.45757,5,13394.01461
120,Argentina,2011,51,8.386451456,149.0906224,14.88248139,40728738,117.56599,25,2967.388776
